medicine_name,price,quantity,availability
Truecort Kid 6mg/5ml Oral Suspension,173,64,available
Librospas 5mg/12.5mg Tablet,440,206,available
Neurotic GB 300mg/500mcg Tablet,120,56,available
Abenzer 400mg Suspension,251,273,available
Gabatol 100mg Tablet,130,79,available
Osicare Plus Tablet,270,75,available
Mikaso 500mg Injection,448,294,available
Afix 200mg Tablet,405,172,available
Amarglim Plus 1mg/500mg Tablet,284,135,available
Alda Tablet,255,294,available
Vb Pod DS 100mg Dry Syrup,197,51,available
Zipred 16mg Tablet,357,248,available
Eutum 250mg Injection,124,125,available
Queengest 300mg Tablet SR,157,100,available
Aedi AB 150mg Injection,84,68,available
Ac2 100mg/500mg Tablet,280,139,available
Dase D 50mg/10mg Tablet,74,212,available
Frisbee 20mg Tablet,183,100,available
Keyone 1000mg/500mg Injection,347,13,limited
Rabevib L Capsule SR,160,153,available
Tinate 60mg Injection,450,116,available
Aziryl 500mg Tablet,343,105,available
Antichol 2mg Tablet,33,161,available
Neurotas P 750mcg/75mg Capsule,490,137,available
Influvac 2015/2016 Vaccine,332,83,available
Dersy-SR 100 Tablet,55,67,available
Volitra P 50mg/500mg Tablet,295,38,available
Nimica Plus 100mg/325mg Tablet,311,102,available
Reblice-L Capsule SR,269,126,available
Lidfast 2% Jelly,362,260,available
Proxecef 50mg Tablet DT,130,260,available
Rabicare-IT 20mg/150mg Capsule,145,231,available
Dulozac 20 Tablet,134,172,available
Glizeal 1 mg/500 mg Tablet,271,113,available
Apcid Syrup Sugar Free,314,288,available
Candipoz-GR Tablet,407,92,available
Sevom 800mg Tablet,370,172,available
UT Fura 100mg Tablet SR,38,32,available
Nadrosol 25mg Injection,27,152,available
Flamox CV 500mg/125mg Tablet,250,245,available
Axycef 100mg Tablet,51,87,available
Febrex Plus AF Oral Drops,420,84,available
Budeflam Aquanase,100,164,available
Rosa D3 Softgel Capsule,335,27,limited
Zopan D 10mg/40mg Tablet,313,122,available
Endolip 10mg Tablet,160,69,available
Dispred Eye Drop,429,259,available
Spasmovoiz 40mg Injection,371,208,available
Alfacin 500mg Tablet,411,272,available
Glimisave M3 Forte Tablet PR,339,291,available
Brainox 400mg Tablet,476,225,available
Kasvert 16mg Tablet,461,62,available
Doxclin LB 100 Capsule,195,241,available
Nixar 100mg/500mg Tablet DT,26,237,available
Lactulis 10gm Oral Solution,278,51,available
Lavinazol 150mg Tablet,259,232,available
Geripod 8 Capsule,155,187,available
Dori 500mg Injection,21,120,available
Zomo-P Capsule,414,269,available
Fever-X 120mg Oral Suspension Mango,173,89,available
Cupride 2mg Tablet,340,136,available
Nurofens 1500mcg Injection,64,184,available
Moq4-D Eye Drop,200,114,available
Doxwell 100mg Tablet,287,167,available
Corcin 100mg Injection,135,76,available
Inkacin 100mg Injection,182,100,available
Arteo LF 80 mg/480 mg Tablet,133,190,available
Recold Syrup,477,70,available
Snowbeta 5mg/325mg/5mg Tablet,78,171,available
Benina Tablet,117,107,available
Lorsumo 8mg Injection,362,87,available
Omeder 20mg Capsule,36,92,available
Clopen 0.5mg Tablet,499,51,available
Glycomet Trio Forte 1 Tablet SR,63,103,available
Neodipine M Tablet,165,230,available
Primecet 5mg Tablet,324,136,available
Ambrot Syrup,131,50,available
Evyphlox 200mg Tablet,90,127,available
Hef 125mg Injection,254,62,available
Prinim Plus 100mg/500mg Tablet,224,237,available
Nurestat 150SR Tablet,127,198,available
Infen Plaster,79,250,available
Cytra 100mg Capsule,73,230,available
Baciflox 200mg Tablet,196,258,available
Webgesic-SP Tablet,252,243,available
Furoxil 250mg Injection,90,125,available
Aretus-M Syrup,114,161,available
Datalka 1.14gm Syrup,95,298,available
Healocid D 30mg/20mg Tablet SR,386,201,available
Metpure H Tablet,51,252,available
DavaIndia Tamsulosin + Dutasteride 0.4mg/0.5mg Tablet,433,271,available
Roxsin LS Junior Syrup,63,102,available
Cadglib M 5mg/500mg Tablet,457,285,available
Ansac 200mg Tablet SR,123,165,available
Neobet Forte  1mg Tablet,24,63,available
Domcip Tablet,488,154,available
Letrablu 2.5mg Tablet,360,248,available
Azikem Kid 250mg Tablet,491,235,available
Matikof-SF Syrup Pineapple Sugar Free,238,182,available
Dicven Plus 50mg/500mg Tablet,438,121,available
Refzon 250mg Injection,132,201,available
Ropiro 0.25mg Tablet,402,182,available
Emeenda 400mg Tablet,328,85,available
Ambose 0.2mg Tablet,412,81,available
Andic-SP Tablet,462,121,available
Cetwet AM 30mg/5mg/10mg Tablet,499,152,available
Acetam 500mg Tablet,233,273,available
Yoxyzine 25mg Tablet,395,195,available
Wycef S 250mg/125mg Injection,408,281,available
Alpharid NA 150mg Injection,103,77,available
Solfix-O 500mg Injection,346,175,available
Olez-DSR Capsule,210,168,available
Cetham 500mg Tablet,340,271,available
CV-Sol Dry Syrup Strawberry,404,255,available
Thyronil 100mcg Tablet,256,228,available
Aldex 6mg Tablet SR,243,203,available
Coasth 650mg Tablet,337,245,available
Esolina-DSR Capsule,462,53,available
Esmocam-LS Capsule SR,223,168,available
Favilow 400 Tablet,403,116,available
Oysimox 250mg Capsule,207,90,available
Serradaze 10mg Tablet,245,177,available
Mnt-L Tablet,380,225,available
Pantadis-DSR 30mg/40mg Capsule,102,227,available
Metosan XR 50 Tablet,258,260,available
Nurovil-PG Capsule,259,43,available
Ma Lock 75mg Injection,481,43,available
Candizone 100 Capsule,122,171,available
Relub LC Eye Drop,165,103,available
Tossie-DX Syrup,108,211,available
Cefurif 500mg Tablet,481,164,available
Lupiclox Tablet DT,442,189,available
Homoglim 2mg Tablet,248,261,available
Semipra D 30mg/40mg Capsule SR,243,76,available
Alkali-P Tablet,268,224,available
Flormeto 200mg/500mg Tablet,473,189,available
Corsita 100mg Tablet,352,165,available
Allerhin L 2.5mg/5ml Syrup,393,211,available
Glimavi 2mg/500mg Tablet,304,84,available
Nexitra 200mg Capsule,80,271,available
A Klave 1000 mg/200 mg Injection,114,217,available
Betcef O 200mg/200mg Tablet,196,94,available
Thyroweek 25 Tablet,425,294,available
Oflobid 200mg Infusion,165,208,available
Fusys DT Tablet,470,281,available
Pexep Plus 25 Capsule IR,204,268,available
Voglistar GM2 Tablet ER,146,25,limited
Glucoryl-M 3 Forte Tablet PR,490,215,available
Ferriate Injection,327,117,available
Abiflox TZ 200mg/600mg Tablet,337,102,available
Gibend 400mg Tablet,134,294,available
Nimipred 100mg/325mg Tablet,270,296,available
Cilnay 10mg Tablet,458,93,available
Bilin CS Capsule,189,194,available
Imfrox 500 Tablet,103,118,available
Raber L 75mg/20mg Capsule SR,234,277,available
Acnerem Gel,416,61,available
Mtxe 20 Tablet,395,250,available
Oflogen OZ Oral Suspension,29,10,limited
Bidrox 500mg Tablet,29,290,available
Osltaz 75mg Tablet,199,121,available
Ketopoz Total Cream,127,127,available
Shinovog M 500mg/0.3mg Tablet,366,109,available
Lithox 400mg Tablet SR,359,285,available
Diclosys SP 10mg/25mg Injection,44,277,available
Zexime 200 DT Tablet,469,118,available
Esobox L 75mg/40mg Capsule SR,313,40,available
VG 150 mg/1000 mg Kit,496,194,available
Flusung 150 Tablet,70,45,available
Azneten 20mg Tablet,406,58,available
Ketobig Lotion,202,281,available
Tenolol 100 Tablet,446,34,available
NE 400 Soft Gelatin Capsule,391,39,available
Syntran 200 Capsule,226,270,available
Noblock Nasal Drops,90,8,limited
Germox 500mg/125mg Tablet,18,215,available
DLX 40mg Tablet,144,42,available
Levowok 500mg Infusion,283,261,available
Dermiact Cream,478,298,available
Aith 500mg Tablet,137,227,available
Nexcet 5mg Tablet,107,254,available
Trenax 250mg Tablet,344,103,available
Adzocin 500 Tablet,422,59,available
Orex M Gel,109,90,available
Elcee Tablet,209,205,available
Nimat 100mg Tablet,157,255,available
Aova-F 10mg/160mg Tablet,397,175,available
Leoar OZ 250mg/500mg Tablet,94,235,available
Oflovel 400mg Tablet,445,73,available
Vogli-Rapid M 0.3mg/1mg/500mg Tablet SR,126,254,available
Set Free Anti-Dandruff Shampoo,483,243,available
Moodilin Plus Tablet,469,27,limited
Coughrow-LS Oral Drops,111,229,available
Halovate Lotion,55,81,available
Clinox-N Gel,264,293,available
Ketozig 200mg Tablet,465,183,available
Naza 0.5mg Tablet,42,235,available
Jflo-OZ 200mg/500mg Tablet,399,121,available
Rabepraz DM 30mg/20mg Tablet,273,77,available
Azipak 200mg/5ml Suspension,24,264,available
Metolar 25 Tablet,454,77,available
Domitin 4mg Tablet,219,253,available
Cloff XL Dry Syrup,185,202,available
Glybonil Plus 5mg/500mg Tablet,436,239,available
Zyncet Syrup,497,171,available
Solulife 40mg Injection,274,275,available
Zatrocob 1500mcg Injection,410,88,available
Lavorix 5mg Tablet,225,160,available
Altaflox OZ 200mg/500mg Tablet,167,79,available
Madito 5mg Tablet,220,30,available
Azo 250mg Tablet,240,7,limited
Egzox 250mg/50mg/325mg Tablet,440,114,available
Flu-4 Suspension,422,160,available
Amigra M 10mg/120mg Tablet,487,61,available
Bluneel 10mg Tablet,353,33,available
Podox CV Duo 100mg/62.5mg Dry Syrup,494,77,available
Kevidic P 50mg/500mg Tablet,83,14,limited
Vexinac TH 100mg/4mg Tablet,479,143,available
Medvomit 2mg Injection,241,35,available
Gynaset Tablet,29,218,available
Vaxcef 1500mg Injection,366,21,limited
Tenlipure 20mg Tablet,382,240,available
Sancort 6mg Tablet,406,169,available
Tarbefin 500mg Tablet,38,136,available
Febera 40mg Tablet,482,169,available
Trytor Tablet,470,236,available
Flz 150mg Tablet,266,35,available
Vildee-M 1000 Tablet,83,235,available
Dienofem Tablet,282,89,available
Capad 500mg Tablet,247,268,available
Dicof Syrup,477,143,available
Betadol-P Tablet,338,104,available
Hansimol 650mg Tablet DT,299,275,available
Dicron SP 50mg/325mg/10mg Tablet,203,62,available
Relemon 5mg/10mg Tablet,93,106,available
Cetlar 10mg Capsule,153,52,available
Pepchill Syrup,358,231,available
Etoversa 60 Tablet,264,95,available
Limolin 500mg Injection,426,236,available
NSD Plus 100mg/500mg Tablet,404,14,limited
Strafos Cream,330,200,available
Telkonol 80H Tablet,230,53,available
Prandial M 0.3 Tablet,21,130,available
